"ppltrst","lrscale","gender","age","married","urban","native","edulevel","paidwork","cntry"
NA,5,0,78,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,2,0,40,0,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,3,0,30,0,1,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,2,1,70,1,1,1,"Erhvervsuddannelse",0,"FI"
NA,5,0,64,0,1,1,"Lang videreg?ende",1,"FI"
NA,7,1,33,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,2,1,26,0,1,1,"Erhvervsuddannelse",0,"FI"
NA,5,0,49,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
3,8,1,31,0,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,8,0,68,1,0,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,5,1,36,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,4,1,68,0,0,1,"Grundskole",0,"FI"
NA,6,1,64,0,0,1,"Lang videreg?ende",1,"FI"
NA,NA,0,84,0,0,1,"Grundskole",0,"FI"
NA,2,1,29,0,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,8,0,64,1,1,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,7,1,73,1,1,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,10,1,90,1,0,1,"Grundskole",0,"FI"
NA,8,1,63,0,0,1,"Grundskole",0,"FI"
NA,0,1,65,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,NA,0,18,0,0,1,"Gymnasium",0,"FI"
NA,7,0,61,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,0,0,46,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,8,0,49,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,4,0,17,0,1,1,"Gymnasium",0,"FI"
NA,3,0,40,1,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,2,1,32,1,1,0,"Erhvervsuddannelse",1,"FI"
NA,4,0,34,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,7,0,51,0,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,8,0,44,1,1,1,"Erhvervsuddannelse",0,"FI"
NA,5,1,50,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,5,1,54,0,1,1,"Gymnasium",0,"FI"
9,6,0,42,1,0,1,"Lang videreg?ende",1,"FI"
9,8,0,38,1,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,5,0,25,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,3,1,32,0,0,1,"Lang videreg?ende",1,"FI"
6,8,0,71,1,0,1,"Gymnasium",0,"FI"
NA,8,1,32,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
7,10,0,27,1,0,1,"Gymnasium",0,"FI"
7,5,1,20,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,6,1,42,1,0,1,"Lang videreg?ende",1,"FI"
7,7,0,48,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,1,31,0,0,0,"Erhvervsuddannelse",1,"FI"
NA,8,1,75,1,0,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,3,0,59,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,5,1,65,1,0,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,8,0,71,1,1,1,"Lang videreg?ende",0,"FI"
NA,5,1,29,0,1,1,"Erhvervsuddannelse",1,"FI"
NA,4,1,66,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,8,0,80,1,0,1,"Gymnasium",0,"FI"
NA,4,1,68,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,NA,0,44,0,1,1,"Erhvervsuddannelse",0,"FI"
7,2,0,41,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,10,0,79,1,1,1,"Lang videreg?ende",0,"FI"
NA,8,0,54,1,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,4,0,52,0,1,1,"Erhvervsuddannelse",1,"FI"
5,9,1,54,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,7,1,61,1,0,1,"Grundskole",0,"FI"
NA,8,1,33,1,1,1,"Lang videreg?ende",1,"FI"
NA,8,0,65,0,1,1,"Erhvervsuddannelse",1,"FI"
NA,7,0,51,1,0,1,"Lang videreg?ende",1,"FI"
NA,7,1,60,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,3,0,19,0,1,1,"Gymnasium",1,"FI"
NA,8,0,50,1,0,1,"Erhvervsuddannelse",1,"FI"
8,5,0,64,1,0,1,"Grundskole",0,"FI"
NA,9,1,85,1,0,0,"Lang videreg?ende",0,"FI"
NA,5,1,46,0,1,1,"Erhvervsuddannelse",1,"FI"
NA,5,1,71,1,1,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,3,0,18,0,0,1,"Gymnasium",0,"FI"
NA,5,1,43,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,1,1,82,1,0,1,"Grundskole",0,"FI"
NA,9,1,34,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,1,57,1,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,4,0,54,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,6,0,65,0,0,1,"Grundskole",0,"FI"
NA,5,0,37,0,0,1,"Lang videreg?ende",1,"FI"
NA,3,0,31,0,1,1,"Erhvervsuddannelse",1,"FI"
NA,8,0,54,1,1,1,"Lang videreg?ende",1,"FI"
NA,8,1,26,0,1,1,"Lang videreg?ende",1,"FI"
NA,5,0,59,0,1,1,"Lang videreg?ende",1,"FI"
NA,8,0,57,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,7,1,63,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,4,1,27,0,1,1,"Erhvervsuddannelse",1,"FI"
NA,7,0,70,0,0,1,"Gymnasium",0,"FI"
10,NA,1,34,0,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,5,0,59,0,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,2,0,26,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,10,1,73,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,0,38,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,NA,1,75,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,5,0,85,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,3,1,69,1,0,1,"Gymnasium",0,"FI"
NA,7,0,21,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,3,1,56,0,1,1,"Erhvervsuddannelse",1,"FI"
NA,5,0,34,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,0,28,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,0,0,73,0,1,1,"Erhvervsuddannelse",0,"FI"
NA,5,1,57,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,7,0,71,1,0,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,6,0,58,1,1,1,"Lang videreg?ende",1,"FI"
8,5,1,71,0,0,1,"Gymnasium",0,"FI"
NA,5,0,25,0,1,1,"Erhvervsuddannelse",1,"FI"
NA,5,0,63,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,8,0,66,1,0,1,"Grundskole",1,"FI"
7,5,1,76,1,1,1,"Gymnasium",0,"FI"
0,7,0,60,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,1,15,0,1,1,"Grundskole",0,"FI"
NA,2,1,72,1,1,1,"Gymnasium",0,"FI"
NA,7,1,59,1,0,1,"Lang videreg?ende",1,"FI"
NA,8,1,34,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,9,0,17,0,1,1,"Gymnasium",0,"FI"
NA,5,0,20,0,1,1,"Erhvervsuddannelse",0,"FI"
3,5,0,58,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,5,1,35,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,8,0,70,1,0,1,"Grundskole",0,"FI"
NA,6,0,76,0,1,1,"Erhvervsuddannelse",0,"FI"
NA,6,1,40,1,1,1,"Lang videreg?ende",1,"FI"
NA,5,0,45,1,0,1,"Lang videreg?ende",1,"FI"
NA,4,0,41,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,1,0,70,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,5,1,72,1,0,1,"Kort/Mellemlang videreg?ende",0,"FI"
8,5,1,25,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,7,0,31,0,1,1,"Lang videreg?ende",1,"FI"
NA,8,0,72,1,1,1,"Erhvervsuddannelse",0,"FI"
NA,7,0,37,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,NA,0,22,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,7,1,41,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,0,63,1,0,1,"Gymnasium",0,"FI"
NA,4,1,66,1,0,1,"Lang videreg?ende",0,"FI"
NA,7,1,40,0,1,1,"Lang videreg?ende",1,"FI"
NA,5,1,58,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,1,61,0,0,1,"Lang videreg?ende",1,"FI"
NA,8,1,37,0,1,1,"Gymnasium",1,"FI"
NA,7,1,73,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,5,1,30,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,0,48,0,0,1,"Kort/Mellemlang videreg?ende",0,"FI"
9,3,0,22,0,1,1,"Erhvervsuddannelse",1,"FI"
NA,7,0,26,0,0,1,"Lang videreg?ende",1,"FI"
NA,6,1,68,1,1,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,7,0,27,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,NA,0,25,0,1,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,3,1,64,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,2,1,68,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,8,0,35,0,1,1,"Lang videreg?ende",1,"FI"
NA,6,1,48,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,4,0,47,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,NA,0,15,0,1,1,"Grundskole",0,"FI"
NA,0,1,77,1,0,1,"Gymnasium",0,"FI"
NA,2,1,71,1,0,1,"Erhvervsuddannelse",0,"FI"
7,NA,1,20,0,0,0,"Gymnasium",0,"FI"
NA,8,1,57,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,3,1,46,1,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,2,1,43,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,5,1,70,1,1,1,"Grundskole",0,"FI"
NA,7,0,38,1,0,1,"Lang videreg?ende",0,"FI"
NA,2,0,81,0,0,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,5,0,55,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,8,0,70,0,1,1,"Gymnasium",0,"FI"
NA,4,0,36,0,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,6,0,60,0,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,7,1,67,1,1,1,"Gymnasium",0,"FI"
NA,5,0,58,1,1,1,"Lang videreg?ende",0,"FI"
NA,7,0,57,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
5,5,0,56,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,NA,1,69,0,0,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,5,0,36,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,8,1,47,1,0,1,"Lang videreg?ende",1,"FI"
8,4,1,35,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,5,0,32,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,7,0,60,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,7,1,45,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,4,0,64,1,0,1,"Grundskole",0,"FI"
NA,3,1,86,0,0,1,"Grundskole",0,"FI"
NA,7,1,69,1,1,1,"Kort/Mellemlang videreg?ende",0,"FI"
7,3,0,35,1,0,0,"Lang videreg?ende",1,"FI"
NA,6,1,68,0,1,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,6,1,32,1,1,1,"Lang videreg?ende",1,"FI"
NA,5,1,77,0,0,1,"Gymnasium",0,"FI"
NA,4,0,57,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,5,1,72,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,8,1,52,1,0,1,"Lang videreg?ende",1,"FI"
NA,7,0,25,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,7,1,26,0,1,0,"Erhvervsuddannelse",0,"FI"
NA,7,0,17,0,0,1,"Gymnasium",0,"FI"
5,3,1,65,1,0,1,"Erhvervsuddannelse",0,"FI"
8,4,0,21,0,0,1,"Erhvervsuddannelse",0,"FI"
1,4,0,22,0,0,1,"Gymnasium",0,"FI"
6,4,0,38,1,0,1,"Lang videreg?ende",1,"FI"
NA,2,0,60,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,7,1,70,1,0,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,5,0,73,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,5,0,59,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
3,5,0,37,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,8,0,20,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,8,0,37,0,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
8,4,0,24,0,1,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,7,1,65,1,0,1,"Lang videreg?ende",0,"FI"
NA,1,1,59,0,0,1,"Grundskole",0,"FI"
9,2,0,35,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,7,1,60,0,1,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,NA,0,31,0,0,1,"Gymnasium",1,"FI"
NA,7,1,43,0,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,5,0,80,0,1,1,"Erhvervsuddannelse",0,"FI"
NA,10,0,65,1,0,1,"Kort/Mellemlang videreg?ende",0,"FI"
8,5,0,17,0,0,1,"Gymnasium",0,"FI"
NA,8,0,87,0,0,1,"Erhvervsuddannelse",0,"FI"
8,5,1,27,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,8,1,49,1,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,7,1,65,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,5,1,53,0,1,1,"Erhvervsuddannelse",1,"FI"
NA,0,0,85,0,0,1,"Grundskole",0,"FI"
NA,9,0,45,1,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,5,1,15,0,0,1,"Grundskole",0,"FI"
7,0,0,18,0,0,1,"Gymnasium",0,"FI"
8,5,0,32,1,1,1,"Lang videreg?ende",1,"FI"
NA,4,1,37,1,1,1,"Erhvervsuddannelse",1,"FI"
NA,9,1,45,1,1,1,"Lang videreg?ende",1,"FI"
NA,3,0,79,1,0,1,"Grundskole",0,"FI"
NA,5,1,80,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,5,0,28,0,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,8,0,46,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,8,0,54,0,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,7,0,43,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,7,0,25,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,0,22,0,1,1,"Erhvervsuddannelse",0,"FI"
NA,7,1,44,1,1,1,"Lang videreg?ende",1,"FI"
6,NA,0,16,0,1,1,"Gymnasium",0,"FI"
NA,5,1,77,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,7,0,55,1,0,1,"Lang videreg?ende",1,"FI"
NA,4,1,56,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,7,1,77,0,0,1,"Grundskole",0,"FI"
NA,6,0,64,0,1,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,2,0,15,0,1,0,"Grundskole",0,"FI"
NA,4,1,28,0,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,3,1,38,0,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,3,0,24,0,1,1,"Erhvervsuddannelse",1,"FI"
4,5,0,36,0,0,1,"Gymnasium",1,"FI"
NA,5,0,17,0,0,1,"Gymnasium",0,"FI"
NA,8,1,37,1,1,1,"Erhvervsuddannelse",1,"FI"
NA,5,1,21,0,1,0,"Erhvervsuddannelse",0,"FI"
NA,7,1,46,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,7,0,52,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,NA,1,79,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,5,1,28,0,1,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,8,1,46,1,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,NA,0,73,1,1,0,"Erhvervsuddannelse",0,"FI"
NA,8,1,20,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,7,1,27,0,1,1,"Erhvervsuddannelse",0,"FI"
NA,5,0,39,0,1,1,"Erhvervsuddannelse",1,"FI"
NA,6,0,75,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,5,1,53,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,0,71,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,7,1,40,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,4,0,39,0,1,1,"Erhvervsuddannelse",1,"FI"
NA,3,0,21,0,1,1,"Erhvervsuddannelse",0,"FI"
NA,8,0,41,0,1,1,"Erhvervsuddannelse",1,"FI"
NA,9,1,19,0,0,1,"Gymnasium",1,"FI"
NA,4,1,30,0,1,1,"Erhvervsuddannelse",1,"FI"
NA,7,0,75,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,8,1,43,0,0,0,"Erhvervsuddannelse",1,"FI"
NA,7,0,52,0,1,1,"Lang videreg?ende",1,"FI"
NA,7,0,76,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,7,0,82,0,1,1,"Erhvervsuddannelse",0,"FI"
NA,2,1,86,0,0,1,"Grundskole",0,"FI"
NA,7,1,38,0,0,0,"Kort/Mellemlang videreg?ende",1,"FI"
NA,5,0,70,1,0,1,"Grundskole",0,"FI"
NA,3,0,64,1,0,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,5,1,42,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,9,0,35,1,0,0,"Kort/Mellemlang videreg?ende",0,"FI"
NA,5,1,33,0,1,1,"Erhvervsuddannelse",1,"FI"
NA,7,1,31,0,0,1,"Grundskole",0,"FI"
NA,8,0,75,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,2,0,41,0,1,0,"Lang videreg?ende",1,"FI"
NA,5,1,68,0,0,1,"Grundskole",0,"FI"
NA,7,1,66,1,0,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,9,1,35,0,1,1,"Lang videreg?ende",1,"FI"
NA,2,1,50,0,0,1,"Grundskole",0,"FI"
NA,7,1,39,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,7,0,61,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,1,66,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,0,1,46,1,0,1,"Gymnasium",1,"FI"
NA,8,0,77,1,0,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,7,0,75,1,0,1,"Grundskole",0,"FI"
NA,9,0,59,0,0,1,"Lang videreg?ende",1,"FI"
5,7,0,41,0,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,5,0,46,0,0,0,"Lang videreg?ende",1,"FI"
NA,3,0,79,0,0,1,"Grundskole",0,"FI"
NA,7,1,66,1,1,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,8,0,29,0,1,1,"Lang videreg?ende",1,"FI"
NA,7,1,76,1,0,1,"Grundskole",0,"FI"
NA,10,1,54,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
7,6,1,48,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,1,60,0,0,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,5,0,37,1,1,0,"Kort/Mellemlang videreg?ende",1,"FI"
NA,7,1,43,1,0,1,"Lang videreg?ende",1,"FI"
NA,8,1,21,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,7,0,60,1,0,1,"Gymnasium",0,"FI"
NA,2,0,81,0,1,1,"Grundskole",0,"FI"
NA,4,0,62,0,1,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,7,0,66,0,0,1,"Kort/Mellemlang videreg?ende",0,"FI"
5,5,0,48,1,0,1,"Erhvervsuddannelse",1,"FI"
3,5,1,53,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,7,1,29,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,5,0,40,0,0,1,"Erhvervsuddannelse",0,"FI"
8,NA,0,35,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,8,1,58,0,1,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,5,0,18,0,0,1,"Gymnasium",0,"FI"
NA,5,0,59,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,0,23,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,5,0,50,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,0,65,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,2,0,44,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,0,81,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,4,1,71,0,1,1,"Erhvervsuddannelse",0,"FI"
NA,8,1,86,1,1,1,"Kort/Mellemlang videreg?ende",0,"FI"
7,7,1,58,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,4,1,59,1,0,1,"Gymnasium",1,"FI"
NA,4,0,64,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,5,1,20,0,1,1,"Erhvervsuddannelse",0,"FI"
NA,4,0,46,1,1,1,"Lang videreg?ende",1,"FI"
NA,8,0,46,1,1,1,"Lang videreg?ende",1,"FI"
NA,8,0,54,1,0,1,"Lang videreg?ende",1,"FI"
NA,7,1,25,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,7,0,61,1,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,5,1,54,1,0,1,"Lang videreg?ende",1,"FI"
NA,5,0,77,0,0,1,"Erhvervsuddannelse",0,"FI"
9,3,1,25,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,1,54,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,7,1,70,0,1,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,7,1,29,0,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,5,1,65,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,2,0,55,0,0,1,"Gymnasium",1,"FI"
NA,6,1,31,1,1,1,"Lang videreg?ende",1,"FI"
NA,9,0,82,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,6,1,71,0,0,1,"Grundskole",1,"FI"
NA,5,1,39,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,0,25,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,8,1,40,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,0,24,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,7,0,71,1,0,1,"Gymnasium",1,"FI"
NA,4,1,67,1,0,1,"Gymnasium",1,"FI"
NA,5,0,73,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,4,0,18,0,0,1,"Gymnasium",0,"FI"
NA,9,1,32,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,7,1,52,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,8,0,51,0,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
9,8,0,74,1,1,1,"Erhvervsuddannelse",0,"FI"
NA,6,1,60,1,0,1,"Grundskole",0,"FI"
NA,2,1,75,1,0,1,"Lang videreg?ende",0,"FI"
NA,6,0,66,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,4,0,66,0,1,1,"Lang videreg?ende",0,"FI"
NA,9,1,74,1,0,1,"Erhvervsuddannelse",0,"FI"
7,7,1,50,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,2,0,52,0,0,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,3,1,68,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,6,0,64,1,0,1,"Erhvervsuddannelse",1,"FI"
5,6,1,16,0,0,1,"Gymnasium",0,"FI"
NA,6,1,68,1,0,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,9,1,52,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,7,0,81,0,0,1,"Grundskole",0,"FI"
NA,8,1,57,0,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,5,0,63,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,7,1,70,0,1,1,"Kort/Mellemlang videreg?ende",0,"FI"
8,NA,1,15,0,1,1,"Grundskole",0,"FI"
NA,6,0,51,1,1,1,"Lang videreg?ende",1,"FI"
NA,5,0,54,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,10,1,52,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
9,NA,1,68,1,0,1,"Erhvervsuddannelse",0,"FI"
7,5,0,48,1,0,1,"Erhvervsuddannelse",0,"FI"
NA,8,1,49,1,0,1,"Lang videreg?ende",1,"FI"
8,5,0,31,0,0,1,"Gymnasium",1,"FI"
NA,8,0,37,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,6,1,72,1,0,1,"Kort/Mellemlang videreg?ende",0,"FI"
NA,9,1,51,0,0,1,"Lang videreg?ende",1,"FI"
NA,8,1,20,0,1,1,"Erhvervsuddannelse",0,"FI"
NA,5,0,54,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,8,1,62,1,0,1,"Kort/Mellemlang videreg?ende",1,"FI"
9,9,1,61,0,1,1,"Gymnasium",0,"FI"
NA,4,1,38,0,0,0,"Erhvervsuddannelse",1,"FI"
NA,NA,1,49,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,5,1,62,0,0,1,"Erhvervsuddannelse",0,"FI"
7,5,1,61,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,7,1,77,0,1,1,"Erhvervsuddannelse",0,"FI"
NA,4,0,32,1,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,7,1,21,0,1,1,"Erhvervsuddannelse",0,"FI"
NA,4,1,21,0,0,0,"Gymnasium",1,"FI"
NA,8,0,74,0,0,1,"Erhvervsuddannelse",0,"FI"
NA,8,0,63,0,0,1,"Gymnasium",1,"FI"
NA,3,0,37,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,7,1,45,1,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,3,0,38,1,1,1,"Kort/Mellemlang videreg?ende",1,"FI"
NA,8,1,54,0,1,1,"Erhvervsuddannelse",1,"FI"
NA,7,0,58,1,0,1,"Erhvervsuddannelse",1,"FI"
7,5,1,58,0,0,1,"Erhvervsuddannelse",1,"FI"
NA,NA,0,48,1,0,0,"Lang videreg?ende",1,"FI"
NA,3,1,64,1,0,1,"Lang videreg?ende",1,"FI"
NA,4,0,50,1,0,1,"Erhvervsuddannelse",1,"FI"
NA,4,1,72,1,1,1,"Grundskole",0,"FI"
NA,5,0,71,0,0,1,"Erhvervsuddannelse",0,"FI"
